"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANALIPETC","EQ","16-Oct-2020","         31.85","         32.15","         33.00","         31.40","         32.30","         32.35","         32.24","     435979","            14055935.20","       1753","     182008","         41.75"
"MANALIPETC","EQ","19-Oct-2020","         32.35","         32.50","         32.80","         31.65","         31.70","         31.80","         32.22","     334316","            10772200.90","       1352","     201191","         60.18"
"MANALIPETC","EQ","20-Oct-2020","         31.80","         31.90","         32.40","         31.55","         31.65","         31.70","         31.91","     373305","            11913436.30","       1491","     185900","         49.80"
"MANALIPETC","EQ","21-Oct-2020","         31.70","         31.80","         33.25","         31.50","         32.35","         32.35","         32.45","     996393","            32333010.40","       4042","     327010","         32.82"
"MANALIPETC","EQ","22-Oct-2020","         32.35","         32.40","         33.50","         32.10","         32.40","         32.60","         32.90","     952031","            31318881.35","       3316","     315267","         33.12"
"MANALIPETC","EQ","23-Oct-2020","         32.60","         32.65","         33.20","         32.20","         32.35","         32.35","         32.63","     626823","            20453563.45","       2143","     211719","         33.78"
"MANALIPETC","EQ","26-Oct-2020","         32.35","         32.35","         33.00","         31.50","         31.65","         31.65","         32.07","     494348","            15852672.90","       1554","     218547","         44.21"
"MANALIPETC","EQ","27-Oct-2020","         31.65","         31.65","         32.60","         31.50","         31.65","         31.65","         31.91","     416078","            13278005.65","       1429","     150998","         36.29"
"MANALIPETC","EQ","28-Oct-2020","         31.65","         31.55","         32.10","         30.55","         30.75","         30.70","         31.16","     483519","            15068753.05","       1706","     259589","         53.69"
"MANALIPETC","EQ","29-Oct-2020","         30.70","         30.40","         31.80","         29.55","         30.90","         30.90","         30.81","     716366","            22070772.85","       2914","     319129","         44.55"
"MANALIPETC","EQ","30-Oct-2020","         30.90","         31.60","         32.80","         31.20","         31.65","         31.40","         32.04","    1391144","            44578454.30","       5697","     309412","         22.24"
"MANALIPETC","EQ","02-Nov-2020","         31.40","         31.50","         31.70","         30.20","         30.20","         30.25","         30.76","     356026","            10952047.35","       1534","     214037","         60.12"
"MANALIPETC","EQ","03-Nov-2020","         30.25","         30.25","         30.80","         30.10","         30.30","         30.20","         30.36","     288396","             8754368.70","       1149","     164658","         57.09"
